Título,Autores,Año,Enlace,Institución
El intertexto,"R Medina -Universidad de La Habana, 2017 - scielo.sld.cu",2017,http://scielo.sld.cu/scielo.php?pid=S0253-92762017000200012&script=sci_arttext&tlng=en,Universidad de La Habana
Del antropocentrismo al sensocentrismo: una evolución ética necesaria,"CA Díaz Abad -Universidad de La Habana, 2019 - scielo.sld.cu",2019,http://scielo.sld.cu/scielo.php?pid=S0253-92762019000100363&script=sci_arttext&tlng=en,Universidad de La Habana
[CITAS][C]El servicio de orientación vocacional-profesional (SOVP) de laUniversidad de La Habana: una estrategia educativa para la elección y desarrollo profesional …,"VG Maura - Pedagogía Universitaria, 2013",2013,#,Universidad de La Habana
La política del cuidado en Cuba. Retos y perspectivas para un diseño multiactoral de cuidado con énfasis en los adultos mayores,"A Gross Gutiérrez, AI Peña Farias -Universidad de La Habana, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0253-92762018000200011&script=sci_arttext,Universidad de La Habana
El sexismo en la orientación profesional.: Un estudio de caso con estudiantes universitarios,"S Pardini González -Universidad de La Habana, 2016 - scielo.sld.cu",2016,http://scielo.sld.cu/scielo.php?pid=S0253-92762016000100010&script=sci_arttext,Universidad de La Habana
La teoría del realineamiento y la evolución del sistema político estadounidense,"E Domínguez López-Universidad de La Habana, 2017 - scielo.sld.cu",2017,http://scielo.sld.cu/scielo.php?pid=S0253-92762017000200006&script=sci_arttext&tlng=en,Universidad de La Habana
Indicadores diagnósticos para el estudio del proceso de inclusión-exclusión educativa en la escuela cubana,"P Batista Sardain-Universidad de La Habana, 2019 - scielo.sld.cu",2019,http://scielo.sld.cu/scielo.php?pid=S0253-92762019000200186&script=sci_abstract&tlng=en,Universidad de La Habana
"Política de ciencia, tecnología e innovación en Cuba: trayectoria y evaluación. Science, Technology and Innovation Policy in Cuba: Evolution and Evaluation","J Núñez Jover, LF Montalvo Arriete -Universidad de La Habana, 2013 - biblat.unam.mx",2013,https://biblat.unam.mx/es/revista/universidad-de-la-habana/articulo/politica-de-ciencia-tecnologia-e-innovacion-en-cuba-trayectoria-y-evaluacion-science-technology-and-innovation-policy-in-cuba-evolution-and-evaluation,Universidad de La Habana
[HTML][HTML]Las familias en la Constitución cubana de 2019. Especial referencia al matrimonio ya la unión de hecho,"LB Pérez Gallardo -Universidad de La Habana, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0253-92762020000100107&script=sci_arttext,Universidad de La Habana
[HTML][HTML]La organización del trabajo en Cuba,"E Catá Guilarte -Universidad de La Habana, 2017 - scielo.sld.cu",2017,http://scielo.sld.cu/scielo.php?pid=S0253-92762017000100011&script=sci_arttext&tlng=en,Universidad de La Habana
[CITAS][C]… de integración de procesos sustantivos universitarios: contribución de la extensión universitaria a la promoción de salud en laUniversidad de La Habana,"A Batista- La Habana:Universidad de La Habana, 2016",2016,#,Universidad de La Habana
[HTML][HTML]Constitución de la República de Cuba y transformaciones en el Estado,"Y Pérez Martínez -Universidad de La Habana, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0253-92762020000100234&script=sci_arttext&tlng=en,Universidad de La Habana
"Garantías judiciales y propuestas para la defensa de los derechos constitucionales: Cuba, 2019","AL Prieto Valdés-Universidad de La Habana, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0253-92762020000100223&script=sci_arttext&tlng=en,Universidad de La Habana
[CITAS][C]Red de centros de investigación como base de la actividad científica en una institución de educación superior cubana: la Univesidad Central de Las Villas,"ÁMR González,JLG Cuevas-Universidad de La Habana, 2013 - dialnet.unirioja.es",2013,https://dialnet.unirioja.es/servlet/articulo?codigo=5048463,Universidad de La Habana
[HTML][HTML]Sostenibilidad y emprendimiento. Un análisis profundo de la dimensión social para una gestión sostenible,"E Caro Montero, J Blanco Laguardia -Universidad de La Habana, 2021 - scielo.sld.cu",2021,http://scielo.sld.cu/scielo.php?pid=S0253-92762021000200017&script=sci_arttext&tlng=pt,Universidad de La Habana
"[HTML][HTML]En torno al corpus, la atenuación y los marcadores en la conversación coloquial habanera","YB Martínez Abreu-Universidad de La Habana, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0253-92762018000100005&script=sci_arttext&tlng=pt,Universidad de La Habana
[HTML][HTML]La nueva Constitución económica. Repercusión en el actual ordenamiento jurídico cubano,"M Moreno Cruz -Universidad de La Habana, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0253-92762020000100044&script=sci_arttext,Universidad de La Habana
[HTML][HTML]Por una plena protección judicial y constitucional,"I Pérez Gutiérrez,LA Hierro Sánchez-Universidad de La Habana, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0253-92762020000100187&script=sci_arttext&tlng=pt,Universidad de La Habana
"[CITAS][C]Familia, educación y raza: tres puntos que convergen","NA Vargas -Universidad de La Habana, 2012 - dialnet.unirioja.es",2012,https://dialnet.unirioja.es/servlet/articulo?codigo=4186846,Universidad de La Habana
[HTML][HTML]Los marcadores conversacionales enfocadores de la alteridad en una muestra del español coloquial de La Habana,"G Roche, A de la Caridad -Universidad de La Habana, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0253-92762018000200005&script=sci_arttext&tlng=en,Universidad de La Habana
Grupos sociales y color de la piel en el acceso y continuidad de estudios en las universidades cubanas hoy,"R García Báez, R Sánchez Díaz -Universidad de La Habana, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0253-92762018000100015&script=sci_arttext&tlng=pt,Universidad de La Habana
[HTML][HTML]Propuesta de análisis para la construcción estratégica del discurso: la representación de la identidad,"A Sánchez Castellanos -Universidad de La Habana, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0253-92762018000100009&script=sci_arttext&tlng=pt,Universidad de La Habana
La doble victimización de adolescentes en conflicto con la norma legal,"A Vega López -Universidad de La Habana, 2017 - scielo.sld.cu",2017,http://scielo.sld.cu/scielo.php?pid=S0253-92762017000100009&script=sci_arttext&tlng=pt,Universidad de La Habana
[CITAS][C]Sistema de gestión de la calidad del proceso de extensión universitaria en laUniversidad de La Habana,"O González - Revista Electrónica Calidad en la Educación Superior, 2016",2016,#,Universidad de La Habana
[CITAS][C]… traductores e intérpretes de nivel Superior en Cuba: cuatro décadas de experiencia en la Facultad de Lenguas Extranjeras de laUniversidad de La Habana,"R Espí Valero - FLEX.Universidad de La Habana, 2011",2011,#,Universidad de La Habana
[CITAS][C]El patrimonio cultural de laUniversidad de La Habana,"C Felipe, JA Baujín - (No Title), 2014 - cir.nii.ac.jp",2014,https://cir.nii.ac.jp/crid/1130864315061778049,Universidad de La Habana
[HTML][HTML]Actualización del modelo¿ solo económico? A propósito de las relaciones entre reformas políticas e irreversibilidad del socialismo en Cuba,"E Duharte Díaz-Universidad de La Habana, 2015 - scielo.sld.cu",2015,http://scielo.sld.cu/scielo.php?pid=S0253-92762015000100011&script=sci_arttext,Universidad de La Habana
[HTML][HTML]Este ahora de ahora es un ahora sin precedente,"M Limia David -Universidad de La Habana, 2015 - scielo.sld.cu",2015,http://scielo.sld.cu/scielo.php?pid=S0253-92762015000100010&script=sci_arttext&tlng=es,Universidad de La Habana
De las unidades fraseológicas al conocimiento fraseológico,"M Martí Sánchez -Universidad de La Habana, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0253-92762018000100003&script=sci_arttext,Universidad de La Habana
"José Martí:: conocimiento, educación y ser humano","F Varona Dominguez-Universidad de La Habana, 2016 - scielo.sld.cu",2016,http://scielo.sld.cu/scielo.php?pid=S0253-92762016000100016&script=sci_arttext,Universidad de La Habana
[CITAS][C]La Habana y el proceso de la primera independencia de Hispanoamérica,"A Sorhegui -Universidad de La Habana, 2010 - dialnet.unirioja.es",2010,https://dialnet.unirioja.es/servlet/articulo?codigo=3622122,Universidad de La Habana
"[CITAS][C]Ciencia, innovación tecnológica y sociedad: experiencias del Centro de Biomateriales","RMG Bretaña-Universidad de La Habana, 2010 - dialnet.unirioja.es",2010,https://dialnet.unirioja.es/servlet/articulo?codigo=3622089,Universidad de La Habana
[CITAS][C]Las ciencias sociales cubanas en el torbellino revolucionário: relaciones interraciales y discurso científico-social,"CG Vasallo -Universidad de La Habana, 2012 - dialnet.unirioja.es",2012,https://dialnet.unirioja.es/servlet/articulo?codigo=4186831,Universidad de La Habana
[HTML][HTML]Medios de expresión prosódicos de fenómenos discursivos en los noticieros del Sistema Informativo de la Televisión Cubana: un nuevo patrón de …,"R García Riverón, A Marrero -Universidad de La Habana, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0253-92762018000100006&script=sci_arttext&tlng=en,Universidad de La Habana
[HTML][HTML]El queísmo y el dequeísmo en las Muestras del habla culta de La Habana,"N Ortega Someillán-Universidad de La Habana, 2019 - scielo.sld.cu",2019,http://scielo.sld.cu/scielo.php?pid=S0253-92762019000100247&script=sci_arttext&tlng=en,Universidad de La Habana
"[CITAS][C]Familias ensambladas, parentesco por afinidad y sucesión"" ab intestato"":¿ una ecuación lineal?","LBP Gallardo -Universidad de La Habana, 2011 - dialnet.unirioja.es",2011,https://dialnet.unirioja.es/servlet/articulo?codigo=3981554,Universidad de La Habana
[CITAS][C]La falacia de una gran verdad: Apuntes sobre las problemáticas científicas del análisis del discurso,"AS Castellanos -Universidad de La Habana, 2012 - dialnet.unirioja.es",2012,https://dialnet.unirioja.es/servlet/articulo?codigo=4248408,Universidad de La Habana
[HTML][HTML]La ciencia de la dirección en Cuba. Breve esbozo histórico,"LJ Blanco Encinosa -Universidad de La Habana, 2014 - scielo.sld.cu",2014,http://scielo.sld.cu/scielo.php?pid=S0253-92762014000200004&script=sci_arttext,Universidad de La Habana
[HTML][HTML]Necesitamos muchas ideas bien claras,"D Machado Rodríguez -Universidad de La Habana, 2015 - scielo.sld.cu",2015,http://scielo.sld.cu/scielo.php?pid=S0253-92762015000100009&script=sci_arttext&tlng=pt,Universidad de La Habana
[CITAS][C]Sistema de gestión de la calidad del proceso de extensión universitaria en laUniversidad de La Habana,OG Aportela- 2016 - Editorial Universitaria,2016,#,Universidad de La Habana
[HTML][HTML]Exportaciones cubanas: sus claves económico-jurídicas,"S Barrera Rodríguez,L Sánchez Oramas-Universidad de La Habana, 2021 - scielo.sld.cu",2021,http://scielo.sld.cu/scielo.php?pid=S0253-92762021000200021&script=sci_arttext,Universidad de La Habana
"[HTML][HTML]El modelo de democracia que nos"" propone"" el capitalismo","LR Valdés Díaz-Universidad de La Habana, 2017 - scielo.sld.cu",2017,http://scielo.sld.cu/scielo.php?pid=S0253-92762017000100002&script=sci_arttext,Universidad de La Habana
